# prefix,country_code,region_code,city,postal
12.202.228.176/29,US,US-TX,Dallas
12.133.26.0/24,US,US-TX,Dallas
206.168.142.0/24,US,US-TX,Dallas
12.133.27.0/24,US,US-TX,Houston
2001:1890:1860:58a0::/60,US,US-TX,Dallas
2001:1890:1860:58b0::/60,US,US-TX,Houston
206.66.97.0/24,US,US-FL,Miami
2600:0803:0a88:2000::/52,US,US-FL,Miami
208.254.105.0/24,US,US-FL,Miami
206.66.96.0/24,US,US-NY,New York
2600:0803:0a88:1000::/52,US,US-NY,New York
8.46.120.0/24,US,US-NY,New York
8.46.123.0/24,US,US-NY,New York
2001:1900:2200:4e01::/64,US,US-NY,New York
8.12.248.0/24,US,US-FL,Miami
2001:1900:2200:4e02::/64,US,US-FL,Miami
8.7.245.0/24,US,US-GA,Atlanta
2001:1900:2200:4e31::/64,US,US-GA,Atlanta
50.228.255.0/24,US,US-NJ,Mount Laurel
2001:559:c0e0:f000::/52,US,US-NJ,Mount Laurel
50.231.144.0/24,US,US-PA,Philadelphia
2001:559:c0e0:a000::/52,US,US-PA,Philadelphia
50.235.249.0/24,US,US-VA,Ashburn
2001:559:c0e0:b000::/52,US,US-VA,Ashburn
192.64.165.0/24,US,US-MA,Boston
2001:559:c0e0:b003::/64,US,US-MA,Boston
2001:559:c0e0:b004::/64,US,US-MA,Boston
12.160.225.0/24,US,US-CA,Los Angeles
2001:1890:1A4A:8740::/60,US,US-CA,Los Angeles
2001:1890:18E2:A310::/60,US,US-CA,Los Angeles
2001:1890:18E2:A320::/60,US,US-CA,Los Angeles
12.205.151.0/24,US,US-CA,San Francisco
2001:1890:1adf:a9a0::/60,US,US-CA,San Francisco
2001:1890:18E2:A340::/60,US,US-CA,San Francisco
2001:1890:18E2:A330::/60,US,US-CA,San Francisco
12.45.91.0/24,US,US-AZ,Phoenix
2001:1890:18E2:A303::/64,US,US-AZ,Phoenix
209.214.22.128/25,US,US-OR,Portland
2001:1890:1A4A:8710::/60,US,US-OR,Portland
2001:1890:1A4A:8720::/60,US,US-OR,Portland
